(1366, 93), (1416, 126), PAGE
(170, 1450), (680, 1480), PLEASE DETACH BEFORE DEPOSITING CHECK
(1578, 810), (1654, 834), 363.54
(1343, 815), (1391, 833), 0.00
(1052, 810), (1128, 834), 363.54
(438, 810), (536, 834), 22083905
(171, 810), (291, 834), 06/13/2023
(1453, 777), (1608, 805), INVOICE NET AMT
(1183, 777), (1352, 805), DISCOUNT AMOUNT
(916, 778), (1094, 802), INVOICE GROSS AMT
(607, 781), (679, 801), INVOICE
(234, 778), (356, 802), INVOICE DATE
(763, 693), (1069, 731), REMITTANCE ADVICE
(337, 369), (907, 407), *******
(486, 342), (610, 366), 31193-6845
(436, 342), (466, 366), GA
(340, 342), (430, 366), ATLANTA
(424, 316), (502, 340), 936845
(340, 316), (418, 340), PO BOX
(1358, 286), (1476, 318), V003349
(1228, 284), (1324, 316), VENDOR
(342, 290), (538, 316), TRULY GOOD FOODS
(1122, 251), (1461, 287), PAYMENT AMOUNT: 363.54
(440, 258), (540, 284), R3N4T1A
(344, 260), (422, 286), 000278
(1358, 224), (1458, 256), 306227
(1236, 222), (1324, 254), CHECK
(1279, 189), (1525, 225), DATE: 07/07/2023
(309, 111), (361, 131), 78701
(267, 111), (293, 129), TX
(187, 108), (262, 134), AUSTIN,
(1422, 98), (1462, 122), 1 OF
(256, 84), (454, 108), CESAR CHAVEZ STREET
(189, 87), (223, 107), 111
(188, 59), (332, 85), THE LINE HOTEL
(1622, 24), (1662, 48), 555
(189, 19), (253, 39), DA5224
