(49, 1405), (165, 1425), 87F100 5/03
(62, 674), (374, 706), VENDOR NO: 0000025779
(1172, 616), (1290, 644), $1,283.65
(902, 616), (1018, 646), $1,283.65
(513, 613), (617, 643), TOTALS
(1544, 250), (1630, 278), 654.70
(1120, 250), (1206, 280), 654.70
(510, 252), (618, 282), 06/14/23
(60, 250), (182, 282), 22084290
(1544, 220), (1630, 250), 628.95
(1120, 222), (1204, 252), 628.95
(512, 222), (618, 252), 06/06/23
(60, 222), (182, 252), 22082054
(1392, 152), (1628, 182), NET AMOUNT PAID
(992, 152), (1204, 184), GROSS AMOUNT
(714, 152), (892, 184), DESCRIPTION
(528, 154), (600, 184), DATE
(62, 154), (218, 184), INVOICE NO
(1381, 100), (1527, 130), 1000599930
(1212, 100), (1354, 132), CHECK NO.
(58, 70), (385, 106), SAMARITAN HEALTH SERVICES
(1380, 52), (1486, 82), 07/12/23
(1270, 52), (1344, 84), DATE
